CaL-eq54,Type of cell: Ventricular Myocyte Cell,,
Parameter,Description, Value,Ref
"P_{Na, M}^{M-N}",The permeability coefficient for the sodium ions through the CaL channels (cm/s),1.5E-08,"[12, 17, 18]"
"P_{Ca, M}^{M-N}",The permeability coefficient for the calcium ions through the CaL channels (cm/s),0.00054,
"P_{K, M}^{M-N}",The permeability coefficient for the potassium ions through the CaL channels (cm/s),2.7E-07,
F ,Faraday's constant,"96,490 (A.s /mol)",
R,Universal gas constant  ,8.314 (J/(mol.K)),
z_K,Ionic charge for potassium ion,1,
z_Ca,Ionic charge for calcium ion,2,
z_Na,Ionic charge for sodium ion,1,
gamma_i,the activity coefficient of the ion,,
